17,-95,652,1449
17,-84,652,1449
17,-84,652,1449
17,-98,652,1449
17,-86,652,1449
d7,-98,652,1449
d7,-102,652,1449
d7,-97,504,1472
2a,-102,504,1472
2a,-97,504,1472
2a,-100,504,1472
3,-100,504,1472
3,-102,504,1472
b8,-75,504,1472
b8,-73,504,1472
2a,-101,504,1472
b8,-85,504,1472
b8,-76,504,1472
cd,-99,504,1472
b8,-77,504,1472
2a,-100,504,1472
b8,-76,504,1472
b8,-78,504,1472
2a,-99,504,1472
b8,-74,504,1345
b8,-80,504,1345
2a,-102,504,1345
b8,-70,504,1312
d7,-102,504,1312
b8,-76,504,1283
b8,-69,504,1199
b8,-75,504,1146
b8,-73,504,1055
d7,-100,504,1055
b8,-71,504,1055
b8,-67,504,946
cd,-97,504,946
d7,-99,504,946
b8,-69,504,946
b8,-71,504,854
b8,-71,504,786
b8,-66,504,747
b8,-62,504,681
b8,-66,504,654
b8,-59,504,588
b8,-59,504,523
cd,-102,504,523
b8,-57,504,523
b8,-50,504,460
cd,-102,504,460
b8,-57,504,395
b8,-67,504,395
cd,-95,504,395
d7,-101,504,395
b8,-54,504,395
b8,-62,504,490
cd,-99,504,490
b8,-55,504,490
cd,-102,504,588
b8,-54,504,588
d7,-102,504,588
17,-75,504,589
b8,-57,504,589
17,-73,504,655
cd,-94,504,655
b8,-64,504,655
d7,-95,504,655
17,-80,504,739
b8,-69,504,739
17,-77,609,739
b8,-68,611,739
b8,-97,551,739
17,-75,551,739
b8,-66,551,739
d7,-93,551,739
17,-83,551,739
b8,-67,551,739
17,-88,551,739
cd,-98,551,739
b8,-71,551,739
d7,-94,551,739
17,-76,551,739
b8,-65,551,739
17,-84,551,739
cd,-92,551,739
b8,-76,551,739
17,-81,650,739
b8,-70,650,739
17,-85,681,739
cd,-95,681,739
b8,-71,681,739
17,-89,681,739
2a,-102,681,739
b8,-96,681,739
17,-85,681,739
cd,-94,681,739
b8,-73,681,739
17,-82,681,837
b8,-73,681,837
b8,-81,681,838
b8,-73,677,838
17,-75,724,838
b8,-75,724,838
2a,-101,724,851
b8,-74,724,851
17,-79,724,912
cd,-98,724,912
b8,-79,724,912
17,-82,724,969
b8,-75,724,969
17,-86,808,969
cd,-99,808,969
b8,-77,808,969
17,-82,834,969
b8,-70,834,969
17,-81,896,969
cd,-101,896,969
b8,-73,896,969
b8,-73,946,969
17,-85,946,886
b8,-71,946,886
17,-81,946,831
b8,-75,946,831
17,-81,946,824
cd,-102,946,824
17,-74,946,824
b8,-88,946,920
17,-84,946,949
b8,-84,946,951
b8,-83,896,972
17,-85,894,972
17,-93,789,972
b8,-71,789,972
17,-100,707,972
2a,-100,707,972
b8,-79,707,972
17,-91,695,972
b8,-70,695,972
17,-86,695,908
b8,-72,695,908
b8,-71,695,867
b8,-73,695,867
17,-78,695,841
b8,-71,695,841
b8,-66,695,820
17,-81,695,783
cd,-97,695,783
b8,-73,695,783
17,-77,695,749
b8,-75,695,749
17,-80,695,735
cd,-98,695,733
b8,-69,695,733
17,-73,695,680
b8,-63,695,680
17,-86,695,649
cd,-98,695,649
b8,-72,695,649
17,-98,695,532
b8,-71,695,532
17,-75,695,450
cd,-80,695,450
b8,-59,695,450
b8,-81,779,450
17,-87,828,450
cd,-86,828,450
b8,-85,828,450
17,-79,920,450
b8,-72,920,450
17,-87,920,512
cd,-97,920,512
b8,-81,920,512
17,-81,920,557
b8,-75,920,557
17,-79,920,599
b8,-71,920,599
17,-89,920,539
b8,-75,920,539
cd,-93,920,451
17,-74,920,451
b8,-74,920,451
17,-73,920,447
cd,-100,832,447
17,-85,832,447
b8,-66,832,447
17,-77,715,447
b8,-71,715,447
cd,-89,715,447
17,-77,715,447
b8,-70,715,447
17,-81,683,491
b8,-69,683,491
cd,-91,683,516
17,-76,683,516
b8,-77,683,516
17,-86,683,582
b8,-66,683,582
cd,-102,683,659
17,-82,683,659
