1524441185234,b8,-92,702,1429
1524441187229,b8,-86,702,1429
1524441188204,b8,-94,702,1429
1524441191224,b8,-91,702,1429
1524441193226,b8,-82,702,1429
1524441194198,b8,-90,702,1429
1524441195221,b8,-82,702,1429
1524441196196,43,-96,628,1429
1524441196200,b8,-88,628,1429
1524441197220,b8,-73,628,1429
1524441198244,b8,-79,563,1429
1524441199219,b8,-72,533,1429
1524441200242,b8,-73,533,1429
1524441201217,b8,-72,533,1429
1524441202241,43,-95,533,1314
1524441202244,b8,-65,533,1314
1524441203216,d7,-99,533,1314
1524441203219,b8,-71,533,1314
1524441204240,b8,-75,533,1216
1524441205215,b8,-62,533,1216
1524441206239,b8,-69,533,1114
1524441207213,b8,-74,533,1114
1524441208238,b8,-61,533,1019
1524441209212,d7,-88,533,1011
1524441209261,b8,-61,533,1011
1524441210236,b8,-62,533,925
1524441211212,d7,-101,533,924
1524441211219,b8,-62,533,924
1524441213210,d7,-98,533,798
1524441214234,cd,-97,533,745
1524441215209,d7,-101,533,739
1524441218231,cd,-95,548,640
1524441219206,17,-69,548,640
1524441220230,cd,-98,548,640
1524441221204,17,-73,548,640
1524441221207,d7,-102,548,640
1524441222228,17,-79,548,731
1524441222231,cd,-102,548,731
1524441223203,17,-86,548,731
1524441223207,d7,-91,548,731
1524441224227,17,-84,548,731
1524441225202,17,-79,627,731
1524441225207,d7,-99,629,731
1524441227202,17,-78,731,731
1524441227206,d7,-100,731,731
1524441228225,17,-73,691,731
1524441228229,cd,-93,691,731
1524441229200,17,-78,691,731
1524441229203,d7,-93,691,731
1524441230223,17,-77,691,731
1524441230229,cd,-99,691,731
1524441231210,17,-79,691,731
1524441231240,d7,-96,691,731
1524441233197,17,-84,691,634
1524441233200,d7,-88,691,634
1524441234221,17,-81,691,556
1524441235196,17,-92,691,548
1524441235198,d7,-85,691,548
1524441236219,17,-96,691,479
1524441236223,cd,-98,691,479
1524441237244,17,-82,691,479
1524441237246,d7,-91,691,479
1524441238218,17,-75,691,479
1524441238221,cd,-90,691,479
1524441239242,17,-76,691,546
1524441239244,d7,-89,691,546
1524441240217,17,-94,691,554
1524441241241,17,-71,691,664
1524441241243,d7,-102,691,664
1524441242216,17,-80,691,694
1524441242218,cd,-93,691,694
1524441243241,17,-78,702,694
1524441243245,d7,-93,701,694
1524441244214,17,-79,700,694
1524441244216,cd,-96,700,694
1524441245238,17,-79,783,694
1524441245241,d7,-92,783,694
1524441246213,17,-86,783,694
1524441248212,17,-75,669,694
1524441249235,17,-80,669,694
1524441249238,d7,-89,669,694
1524441250211,17,-71,542,694
1524441251234,17,-73,542,694
1524441252210,cd,-102,542,694
1524441253233,17,-71,542,694
1524441253235,d7,-96,542,694
1524441254213,17,-67,542,694
1524441255236,17,-74,542,694
1524441255245,d7,-100,542,694
1524441256207,17,-68,542,763
1524441257279,17,-75,542,792
1524441257281,d7,-101,542,792
1524441258205,17,-72,542,869
1524441259229,17,-71,542,914
1524441259232,d7,-91,542,914
1524441260204,17,-73,542,987
1524441261229,17,-84,542,1014
1524441262203,17,-92,542,1073
1524441262209,f8,-96,542,1073
1524441263227,17,-81,542,1172
1524441264202,17,-80,542,1237
1524441265225,17,-82,542,1342
1524441265228,d7,-100,542,1342
1524441266201,17,-81,542,1448
1524441267224,17,-87,542,1448
1524441268199,17,-81,542,1515
1524441269223,17,-80,542,1536
1524441270198,17,-79,542,1536
1524441270201,f8,-100,542,1536
1524441271222,17,-102,542,1536
1524441272203,17,-84,542,1536
1524441272216,f8,-102,542,1536
1524441273225,17,-81,542,1536
1524441274200,17,-89,542,1536
