b8,-88,777,1913
b8,-91,777,1913
b8,-88,777,1913
b8,-93,777,1913
b8,-86,777,1913
b8,-91,777,1913
17,-93,777,1913
b8,-92,777,1913
17,-91,777,1913
17,-91,777,1913
b8,-89,777,1913
b8,-90,777,1913
b8,-93,777,1913
17,-92,777,1913
b8,-90,777,1913
17,-91,777,1913
17,-92,777,1913
b8,-89,777,1913
17,-91,777,1913
b8,-91,777,1913
17,-90,777,1913
17,-88,777,1913
b8,-86,777,1913
17,-88,777,1913
b8,-91,777,1913
17,-91,777,1913
b8,-86,777,1913
b8,-93,777,1913
17,-91,777,1913
b8,-87,777,1913
17,-92,777,1913
b8,-89,777,1913
b8,-91,777,1913
17,-93,777,1913
b8,-88,777,1913
b8,-90,777,1913
b8,-89,777,1913
b8,-91,777,1913
b8,-88,777,1913
17,-93,777,1913
17,-89,777,1913
17,-91,777,1913
17,-93,777,1913
17,-92,777,1913
17,-90,777,1913
17,-92,777,1913
17,-91,777,1913
3,-93,777,1913
17,-93,777,1913
b8,-91,777,1913
17,-91,777,1913
17,-90,777,1913
b8,-93,777,1913
17,-91,777,1913
3,-92,777,1913
17,-92,777,1913
17,-93,777,1913
17,-91,777,1913
17,-88,777,1913
17,-89,777,1913
3,-92,777,1913
b8,-91,777,1913
b8,-93,777,1913
b8,-87,777,1913
b8,-86,777,1913
b8,-91,777,1913
b8,-87,777,1913
b8,-87,777,1913
17,-93,777,1913
b8,-87,777,1913
17,-93,777,1913
b8,-89,777,1913
b8,-84,777,1913
17,-93,777,1913
17,-91,777,1913
17,-89,777,1913
17,-93,777,1913
b8,-91,777,1913
b8,-88,777,1913
b8,-85,777,1913
b8,-86,777,1913
b8,-91,765,1913
17,-93,693,1913
b8,-89,693,1913
b8,-84,693,1913
17,-92,693,1913
b8,-84,693,1913
17,-86,693,1913
b8,-92,693,1913
b8,-81,693,1913
17,-93,693,1913
b8,-85,693,1913
b8,-89,693,1913
b8,-85,693,1913
17,-88,693,1913
b8,-88,693,1913
17,-91,693,1913
b8,-82,693,1913
17,-92,637,1913
b8,-85,637,1913
b8,-86,612,1913
17,-88,612,1913
b8,-85,612,1913
17,-84,590,1913
b8,-88,589,1913
b8,-88,597,1913
17,-91,597,1913
b8,-88,597,1913
b8,-91,597,1913
17,-93,597,1913
b8,-88,597,1913
b8,-81,597,1913
b8,-84,597,1913
17,-93,597,1913
b8,-81,597,1913
b8,-88,597,1913
b8,-85,576,1913
b8,-79,482,1913
17,-88,482,1913
b8,-89,482,1913
17,-92,482,1913
b8,-81,482,1913
b8,-86,482,1913
b8,-93,482,1913
17,-92,482,1913
17,-82,482,1913
b8,-86,482,1913
17,-90,482,1913
b8,-82,482,1913
17,-85,482,1913
b8,-88,482,1913
17,-88,482,1913
17,-86,482,1899
b8,-89,482,1899
17,-87,482,1856
b8,-82,482,1801
17,-87,482,1736
b8,-86,482,1736
b8,-91,482,1704
b8,-88,482,1649
b8,-88,482,1649
17,-89,482,1666
b8,-86,406,1666
b8,-90,406,1666
17,-86,307,1666
17,-91,307,1666
17,-92,307,1666
17,-93,307,1666
17,-87,307,1666
62,-86,239,1666
17,-80,239,1666
62,-93,239,1666
62,-91,239,1666
62,-92,239,1666
62,-92,239,1666
62,-93,239,1666
62,-91,190,1666
62,-91,190,1666
62,-93,190,1666
62,-93,84,1666
62,-93,84,1666
62,-88,84,1666
62,-88,84,1666
62,-83,84,1666
62,-93,84,1666
62,-85,84,1666
62,-93,84,1666
b8,-88,30,1666
62,-93,30,1666
17,-88,30,2014
b8,-85,30,2014
17,-93,30,2014
3,-91,30,2014
b8,-88,45,2014
b8,-93,45,2014
17,-89,45,2014
b8,-83,45,2014
17,-87,98,2014
17,-93,99,2014
b8,-93,99,2014
17,-81,174,2014
17,-87,174,2014
b8,-84,174,2014
17,-81,174,2014
17,-90,174,2014
17,-84,174,2014
3,-89,174,2014
17,-84,174,2014
17,-84,174,2014
17,-93,234,2014
b8,-86,235,2014
17,-81,304,2014
3,-88,304,2014
b8,-80,304,2014
17,-82,304,2014
b8,-86,304,2014
b8,-80,304,2014
17,-81,304,2014
3,-86,383,2014
17,-91,386,2014
b8,-91,386,2014
17,-88,431,2014
b8,-91,431,2014
17,-91,431,2014
17,-92,431,2014
b8,-88,431,2014
3,-82,431,2014
17,-86,431,2014
b8,-79,431,2014
b8,-87,431,2014
b8,-91,431,2014
17,-88,431,2014
b8,-89,431,2014
b8,-87,431,2014
17,-90,431,2014
b8,-91,431,2014
b8,-87,431,2014
b8,-84,431,2014
3,-88,431,2014
17,-88,431,2014
b8,-88,431,2014
17,-93,431,2014
17,-91,431,2014
b8,-86,431,2014
b8,-81,431,2014
3,-90,431,2014
17,-89,431,2014
b8,-86,431,2014
17,-82,431,2014
b8,-90,431,2014
3,-88,431,2085
17,-86,431,2085
b8,-91,431,2085
17,-86,431,2085
b8,-90,431,2085
3,-77,431,2085
b8,-89,431,2085
17,-87,431,2085
b8,-85,431,2085
3,-88,431,2085
b8,-78,431,2085
b8,-84,431,2085
3,-87,431,2085
17,-86,431,2085
17,-90,431,2085
b8,-77,431,2085
b8,-80,431,2085
17,-93,431,2085
b8,-88,431,2085
3,-84,431,2085
17,-93,431,2085
b8,-75,431,2085
17,-93,431,2085
b8,-87,431,2085
3,-87,431,2085
3,-90,431,2085
17,-93,431,2085
b8,-86,431,2085
b8,-81,431,2085
3,-87,431,2085
17,-85,431,2085
b8,-78,431,2085
b8,-78,431,2085
17,-86,431,2085
b8,-81,431,2085
17,-90,556,2085
b8,-87,556,2085
17,-89,556,2059
b8,-86,556,2058
3,-86,556,2019
17,-81,556,2019
b8,-91,556,2019
17,-85,556,2019
3,-86,556,2019
17,-81,556,2019
17,-91,556,2019
17,-88,556,1910
17,-93,556,1879
17,-84,556,1805
17,-80,556,1805
17,-85,556,1805
3,-93,556,1805
17,-81,556,1805
17,-80,556,1805
17,-79,556,1805
17,-76,556,1805
17,-86,556,1805
17,-79,556,1805
17,-79,556,1805
3,-90,725,1598
3,-91,725,1598
b8,-75,725,1598
b8,-90,725,1598
3,-93,725,1598
b8,-81,725,1598
b8,-86,725,1598
b8,-81,725,1598
b8,-86,725,1598
b8,-86,725,1598
b8,-90,725,1598
b8,-80,725,1598
b8,-89,725,1598
b8,-81,725,1598
17,-90,725,1598
17,-88,725,1598
17,-88,725,1598
b8,-81,725,1598
17,-86,725,1598
17,-88,725,1598
17,-90,725,1598
b8,-91,725,1598
3,-90,725,1598
17,-81,725,1598
b8,-79,725,1598
b8,-84,725,1598
17,-86,725,1598
17,-84,725,1598
b8,-84,725,1598
17,-90,725,1598
b8,-87,725,1598
b8,-91,725,1598
17,-85,725,1598
b8,-93,725,1598
b8,-88,725,1598
b8,-88,725,1598
17,-91,725,1598
17,-91,725,1598
b8,-93,725,1598
b8,-86,725,1598
