17,-94,263,1836
17,-88,263,1836
17,-98,263,1836
17,-91,263,1836
17,-84,263,1836
17,-80,263,1836
17,-92,263,1836
17,-85,263,1836
17,-87,263,1836
17,-81,263,1836
17,-90,263,1836
17,-86,263,1836
17,-79,263,1836
17,-93,263,1836
17,-88,263,1836
17,-84,263,1836
17,-91,360,1836
17,-102,360,1836
2a,-102,360,1836
17,-85,360,1836
17,-91,360,1836
17,-93,360,1836
17,-88,360,1833
17,-81,360,1731
17,-88,360,1731
17,-93,360,1731
17,-84,360,1731
17,-83,360,1731
d7,-101,360,1731
17,-84,360,1731
43,-102,360,1731
17,-95,360,1684
17,-81,360,1590
17,-83,360,1590
17,-79,360,1590
17,-84,407,1590
17,-81,423,1590
62,-102,423,1513
17,-84,423,1511
17,-95,423,1491
2a,-100,423,1491
17,-78,423,1491
17,-84,423,1491
cd,-96,423,1491
d7,-102,423,1491
2a,-102,423,1318
17,-86,423,1318
17,-71,423,1314
17,-74,423,1314
43,-93,423,1314
17,-85,423,1314
2a,-92,423,1314
17,-77,423,1314
43,-91,423,1314
17,-75,423,1133
17,-86,423,1133
17,-77,423,1133
d7,-98,423,1133
2a,-100,423,1133
17,-79,423,1133
17,-77,423,986
cd,-101,423,985
17,-78,423,985
cd,-102,423,985
17,-76,423,985
17,-73,423,985
d7,-93,423,985
b8,-63,423,985
cd,-101,423,985
17,-73,423,985
17,-78,423,985
b8,-75,423,985
2a,-102,423,985
17,-71,423,985
b8,-63,423,954
17,-78,423,954
b8,-72,423,954
17,-79,423,954
b8,-62,423,954
b8,-62,423,954
17,-73,423,954
b8,-66,423,954
17,-73,423,954
b8,-75,423,954
17,-71,423,954
b8,-75,423,954
cd,-100,423,954
17,-75,423,954
b8,-68,423,954
17,-77,423,954
b8,-72,374,954
b8,-69,374,954
17,-76,374,954
43,-97,374,954
b8,-67,374,954
17,-77,374,954
b8,-82,374,954
17,-69,374,954
b8,-72,374,954
17,-71,374,954
b8,-73,374,954
17,-76,374,954
b8,-69,374,954
17,-63,374,954
b8,-73,374,954
b8,-80,374,954
b8,-70,374,954
43,-101,374,954
b8,-76,374,954
62,-101,374,954
3,-100,374,954
b8,-94,374,954
b8,-81,374,954
62,-97,374,954
b8,-71,374,954
b8,-72,374,871
b8,-79,374,871
2a,-102,374,871
b8,-75,374,871
3,-100,374,871
b8,-71,374,871
b8,-69,374,874
b8,-71,374,883
b8,-82,374,883
3,-102,374,883
b8,-75,374,841
b8,-77,374,813
3,-95,374,813
b8,-79,374,813
b8,-73,374,813
b8,-73,374,813
b8,-95,374,813
3,-97,346,1827
b8,-87,346,1827
b8,-85,346,1827
3,-93,346,1827
b8,-88,346,1827
b8,-88,346,1827
b8,-87,346,1827
b8,-93,346,1827
3,-94,346,1827
b8,-92,346,1827
b8,-86,346,1827
b8,-97,346,1827
b8,-84,346,1827
3,-90,346,1827
3,-90,346,1827
3,-95,346,1827
f8,-98,346,1827
3,-91,346,1827
f8,-93,346,1827
f8,-99,346,1827
3,-91,346,1827
43,-100,346,1827
3,-94,346,1827
f8,-91,346,1827
43,-102,346,1827
3,-97,346,1827
f8,-98,346,1827
f8,-98,346,1827
f8,-91,346,1827
f8,-93,346,1827
f8,-100,346,1827
f8,-94,346,1827
f8,-93,346,1827
f8,-91,424,1827
f8,-98,425,1827
f8,-95,425,1927
f8,-98,425,2180
17,-79,406,2180
f8,-89,406,2180
17,-90,359,2180
17,-91,359,2180
17,-85,359,2180
17,-98,314,2180
17,-91,290,2180
17,-86,290,2180
